##############################
# Brazil - World Cup 2014
#
# Coaching Staff
# - Head Coach: Luiz Felipe Scolari


####################
# GK / Goal Keepers

Jefferson       ## Botafogo
Julio César     ## Toronto F.C
Victor          ## Atlético-MG

####################
# DF / Defenders

Dante            (Bayern de Munique)
David Luiz       (Chelsea)
Henrique         (Napoli)
Thiago Silva     (Paris Saint-Germain)
Daniel Alves     (Barcelona)
Maicon           (Roma)
Marcelo          (Real Madrid)
Maxwell          (PSG)

####################
# MF / Midfielders

Fernandinho     (Manchester City)
Hernanes        (Inter de Milão)
Luiz Gustavo    (Wolfsburg)
Oscar           (Chelsea)
Paulinho        (Tottenham)
Ramires         (Chelsea)
Willian         (Chelsea)

####################
# FW / Forwards

Bernard         (Shakhtar)
Fred            (Fluminense)
Hulk            (Zenit)
Jô              (Atlético-MG)
Neymar          (Barcelona)

